market_id,official_area_code,official_area_name,official_area_type,official_base_year,geometry_version,relation_type,overlap_area_m2,market_overlap_ratio,official_overlap_ratio,confidence,source_id,checked_at,match_basis
SEOUL-JONGNO-GWANGHWAMUN-JONGNO,3120003,광화문역,발달상권,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,D,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:광화문
SEOUL-JONGNO-GWANGHWAMUN-JONGNO,3001494,종로·청계 관광특구,관광특구,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,D,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:종로
SEOUL-JONGNO-GWANGHWAMUN-JONGNO,3110026,종로5가역 4번,골목상권,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,D,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:종로
SEOUL-JONGNO-GWANGHWAMUN-JONGNO,3120004,종로구청,발달상권,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,D,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:종로
SEOUL-JONGNO-GWANGHWAMUN-JONGNO,3120006,종각역,발달상권,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,D,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:종각
SEOUL-JONGNO-GWANGHWAMUN-JONGNO,3120009,종로3가역,발달상권,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,D,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:종로
SEOUL-JONGNO-GWANGHWAMUN-JONGNO,3120011,종로4가,발달상권,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,D,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:종로
SEOUL-JONGNO-GWANGHWAMUN-JONGNO,3120014,종로5가역,발달상권,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,D,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:종로
SEOUL-JONGNO-INSADONG-IKSEON,3120009,종로3가역,발달상권,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,C,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:종로3가
SEOUL-JONGNO-INSADONG-IKSEON,3120008,인사동,발달상권,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,D,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:인사동
SEOUL-JONGNO-INSADONG-IKSEON,3120007,북촌(안국역),발달상권,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,D,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:안국
SEOUL-JONGNO-SAMCHEONG-BUKCHON,3120007,북촌(안국역),발달상권,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,C,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:북촌|안국
SEOUL-JONGNO-SAMCHEONG-BUKCHON,3120005,삼청동,발달상권,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,D,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:삼청
SEOUL-JONGNO-DAEHANGNO,3120012,대학로(혜화역),발달상권,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,C,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:대학로|혜화역|혜화
SEOUL-JONGNO-DAEHANGNO,3110027,혜화역 1번,골목상권,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,C,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:혜화역|혜화
SEOUL-JONGNO-DAEHANGNO,3110021,성균관대학교,골목상권,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,C,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:성균관대
SEOUL-JONGNO-SEOCHON-GYEONGBOK,3120002,서촌(경복궁역),발달상권,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,C,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:서촌|경복궁
SEOUL-JONGNO-SEOCHON-GYEONGBOK,3130001,통인시장,전통시장,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,C,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:통인시장
SEOUL-JONGNO-SEOCHON-GYEONGBOK,3130002,세종마을음식문화거리(금천교시장),전통시장,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,C,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:세종마을
SEOUL-JONGNO-DONGDAEMUN-CHANGSIN,3110029,동대문역 1번,골목상권,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,C,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:동대문|동대문역
SEOUL-JONGNO-DONGDAEMUN-CHANGSIN,3110030,동대문역 3번,골목상권,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,C,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:동대문|동대문역
SEOUL-JONGNO-DONGDAEMUN-CHANGSIN,3120016,동대문역,발달상권,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,C,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:동대문|동대문역
SEOUL-JONGNO-DONGDAEMUN-CHANGSIN,3110035,동묘앞역 2번,골목상권,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,D,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:동묘앞
SEOUL-JONGNO-DONGDAEMUN-CHANGSIN,3110036,동묘앞역 3번,골목상권,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,D,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:동묘앞
SEOUL-JONGNO-DONGDAEMUN-CHANGSIN,3120017,동묘앞역(동묘),발달상권,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,D,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:동묘앞
SEOUL-JONGNO-DONGDAEMUN-CHANGSIN,3130012,"동대문종합시장(동대문종합시장 신관, 동대문종합시장D동상가)",전통시장,2024+ metric system; geometry file 2023-10,SEOUL_MARKET_SHP_2023-10-20,manual_review,,,,D,SRC-SEOUL-OA-15560,2026-08-27,name_keyword:동대문
